date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:56	14984/14984	---M-Z	200	added ('OK')	text/html	etag:%223a88-5ec15df1-110550870ddd957d;gz%22	https://reclama.cc/es/	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/index.html	(from )
15:30:56	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c814-2ddf9a14c8dc1c54;gz%22	https://reclama.cc/robots.txt		(from )
15:30:57	25672/25672	---M-Z	200	added ('OK')	text/html	etag:%226448-5ec15da5-25f06cc3b72d10b9;gz%22	https://reclama.cc/es/plump-webfont.html	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/plump-webfont.html	(from https://reclama.cc/es/)
15:30:57	22752/22752	---M--	200	added ('OK')	application/font-woff	etag:%2258e0-5ec15da5-2ce4e77f051451ef;;;%22	https://reclama.cc/es/plump-webfont.woff	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/plump-webfont.woff	(from https://reclama.cc/es/)
15:30:57	846/846	---M--	200	added ('OK')	text/html	etag:%2234e-5ec15da5-d445809182d87e18;;;%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/v2	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/v2.html	(from https://reclama.cc/es/)
15:30:57	16812/16812	---M-Z	200	added ('OK')	text/plain	etag:%2241ac-5ec15da5-46857b4d8020d073;gz%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/tc.js.download	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/tc.js.download	(from https://reclama.cc/es/)
15:30:57	30/30	---M--	200	added ('OK')	text/html	etag:%221e-5ec15da5-9926ed733fd4cf22;;;%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/saved_resource	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/saved_resource.html	(from https://reclama.cc/es/)
15:30:57	3874/3874	---M--	200	added ('OK')	text/html	etag:%22f22-5ec15da5-b8ec2d4d1f67290b;;;%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/saved_resource(1)	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/saved_resource(1).html	(from https://reclama.cc/es/)
15:30:58	86929/86929	---M-Z	200	added ('OK')	text/plain	etag:%2215391-5ec15da5-7d2303d88de718dd;gz%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/jquery.min.js.download	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/jquery.min.js.download	(from https://reclama.cc/es/)
15:30:58	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c814-2ddf9a14c8dc1c54;gz%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/cssaa28aa28.css	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/cssaa28aa28.css	(from https://reclama.cc/es/)
15:30:58	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c814-2ddf9a14c8dc1c54;gz%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/icone91fe91f.css	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/icone91fe91f.css	(from https://reclama.cc/es/)
15:30:58	141842/141842	---M-Z	200	added ('OK')	text/css	etag:%2222a12-5ec15da5-4a819ff8d0020831;gz%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/materialize.min.css	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/materialize.min.css	(from https://reclama.cc/es/)
15:30:59	181114/181114	---M-Z	200	added ('OK')	text/plain	etag:%222c37a-5ec15da5-8ca33926bc5b17b1;gz%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/materialize.min.js.download	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/materialize.min.js.download	(from https://reclama.cc/es/)
