date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:30	11857/11857	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Feb%202020%2017:07:41%20GMT	https://diamantesff.com/	C:/Mis%20lugares%20Web/Farm/diamantesff.com/index.html	(from )
12:49:31	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:31:42%20GMT	https://diamantesff.com/robots.txt		(from )
12:49:31	25672/25672	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202020%2003:28:50%20GMT	https://diamantesff.com/plump-webfont.html	C:/Mis%20lugares%20Web/Farm/diamantesff.com/plump-webfont.html	(from https://diamantesff.com/)
12:49:31	22752/22752	---M--	200	added ('OK')	font/woff	date:Sat,%2011%20Jan%202020%2003:28:56%20GMT	https://diamantesff.com/plump-webfont.woff	C:/Mis%20lugares%20Web/Farm/diamantesff.com/plump-webfont.woff	(from https://diamantesff.com/)
12:49:31	846/846	---M--	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202020%2003:09:06%20GMT	https://diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/v2	C:/Mis%20lugares%20Web/Farm/diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/v2.html	(from https://diamantesff.com/)
12:49:32	16812/16812	---M--	200	added ('OK')	application/javascript	date:Sat,%2011%20Jan%202020%2003:09:06%20GMT	https://diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/tc.js.download	C:/Mis%20lugares%20Web/Farm/diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/tc.js.download	(from https://diamantesff.com/)
12:49:33	30/30	---M--	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202020%2003:09:06%20GMT	https://diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/saved_resource	C:/Mis%20lugares%20Web/Farm/diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/saved_resource.html	(from https://diamantesff.com/)
12:49:33	3874/3874	---M--	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202020%2003:09:06%20GMT	https://diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/saved_resource(1)	C:/Mis%20lugares%20Web/Farm/diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/saved_resource(1).html	(from https://diamantesff.com/)
12:49:33	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:31:42%20GMT	https://diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/cssaa28aa28.css	C:/Mis%20lugares%20Web/Farm/diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/cssaa28aa28.css	(from https://diamantesff.com/)
12:49:33	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:31:42%20GMT	https://diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/icone91fe91f.css	C:/Mis%20lugares%20Web/Farm/diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/icone91fe91f.css	(from https://diamantesff.com/)
